Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
1;2;-2.0;1002.6;182.0;176.5
0;2;-1.3;1006.3;179.75;178.75
0;3;-0.2;1013.2;188.5;188.5
0;3;0.4;1014.6;187.25;187.0
0;3;-1.8;1015.8;181.5;181.5
0;3;0.0;1017.3;177.25;175.0
1;3;0.0;1011.0;176.25;174.5
1;3;-3.5;1003.0;176.47810219;173.912408759
0;3;0.3;1014.5;172.315018315;174.054744526
0;3;-5.5;1021.7;183.329710145;184.25631769
0;3;-5.2;1011.6;186.86770428;187.13229572
0;3;-3.2;1005.7;194.1875;192.941634241
0;3;-1.1;1004.0;184.6875;184.266932271
1;3;3.8;1005.9;183.49609375;183.21875
1;3;5.2;1001.1;187.490272374;185.122047244
0;3;11.2;1001.0;185.106299213;185.178988327
0;3;8.5;1004.7;187.0;186.0
0;3;8.6;1000.6;185.0;184.75
0;3;11.1;985.8;184.75;183.5
0;3;5.3;994.6;187.75;186.5
1;3;5.8;1005.0;184.0;184.5
1;3;4.7;1011.7;185.5;181.25
0;3;4.3;1015.0;180.0;181.75
0;3;-0.2;1019.5;185.75;184.0
0;3;0.9;1017.7;187.0;185.5
0;3;2.9;1018.0;193.666666667;193.5
0;3;3.3;1009.1;188.0;188.25
1;3;10.7;998.4;184.0;183.75
1;3;10.8;1001.2;196.75;193.0
0;3;10.5;997.3;NaN;NaN
0;3;6.7;1000.1;NaN;NaN
0;3;3.0;1001.8;190.666666667;197.0
0;3;4.0;1004.7;193.0;193.75
0;4;6.0;1007.5;NaN;NaN
1;4;7.7;1007.4;NaN;NaN
1;4;8.5;1001.0;NaN;NaN
0;4;9.4;998.3;NaN;NaN
0;4;9.9;1007.3;NaN;NaN
0;4;5.0;1011.3;NaN;NaN
0;4;8.2;1009.2;NaN;NaN
0;4;17.4;998.3;NaN;NaN
1;4;11.5;995.5;NaN;NaN
1;4;5.2;1005.7;NaN;NaN
0;4;6.0;1005.2;NaN;NaN
0;4;7.2;998.7;NaN;NaN
0;4;6.8;1001.1;NaN;NaN
0;4;3.7;998.8;NaN;NaN
0;4;5.3;1000.2;NaN;NaN
1;4;8.9;1003.9;NaN;NaN
1;4;5.9;1006.7;147.75;148.0
0;4;4.0;1007.2;142.5;142.0
0;4;6.1;1003.0;151.25;152.25
0;4;5.1;1002.3;156.25;157.0
0;4;6.1;1003.4;150.5;149.75
0;4;7.1;999.7;151.75;151.0
1;4;8.2;998.5;145.5;145.25
1;4;12.9;998.7;141.0;141.25
1;4;11.9;1000.4;142.5;139.0
0;4;12.9;999.3;140.25;139.75
0;4;12.3;997.8;150.25;149.25
0;4;12.7;997.3;151.25;150.0
0;4;11.4;995.5;158.5;156.75
1;4;11.7;994.0;158.5;160.0
1;5;11.2;989.1;176.25;159.25
0;5;8.1;994.2;153.5;150.5
0;5;10.6;988.5;150.25;151.75
0;5;3.8;1001.1;NaN;NaN
0;5;3.9;1006.6;153.75;152.75
0;5;3.9;1012.6;155.382352941;156.062043796
1;5;5.2;1008.5;153.157676349;150.008163265
1;5;7.3;1003.9;155.265560166;150.520491803
0;5;6.0;1010.3;152.0;150.75
0;5;9.3;1011.0;152.5;151.25
0;5;9.3;1006.4;158.0;155.0
0;5;9.5;1002.3;163.0;161.0
0;5;17.1;1001.7;NaN;NaN
1;5;12.5;1003.3;NaN;NaN
1;5;13.9;995.6;182.75;173.25
0;5;9.6;1003.4;175.079497908;173.581300813
0;5;13.7;1007.1;154.421052632;152.33877551
0;5;13.7;1006.1;148.055319149;143.608695652
0;5;12.0;1004.2;145.457831325;144.588709677
0;5;13.8;1003.3;153.805194805;152.920704846
1;5;14.4;1003.6;150.413636364;147.751152074
1;5;12.0;1004.3;146.163090129;143.858369099
0;5;14.8;1005.0;146.938596491;145.964285714
0;5;15.0;1006.3;157.627705628;155.8125
0;5;15.6;1005.1;159.107758621;158.391304348
0;5;13.3;1006.5;156.25;153.752212389
0;5;14.5;999.0;161.679487179;160.783549784
1;5;13.3;998.1;157.151515152;154.343220339
1;5;9.8;1003.0;154.200854701;148.257383966
0;5;11.3;1005.2;150.449152542;150.863436123
0;5;14.5;1000.8;160.225531915;160.301724138
